Year,CCGT,OCGT,biomass,geothermal,hydro,hydro_store,oil,onwind,solar
2024,0.5560618716246483,0.003557239873170156,0.7199997523492712,0.5863591813822482,0.5830322301874137,0.4569454694716569,7.703782502101097e-06,0.16903552538803931,0.21040952343524244
2025,0.5382966961260858,0.0010334743652976887,0.7199999145282784,0.9073169682103364,0.6049380136239936,0.4569458815543896,5.125787500572924e-06,0.16910404215463962,0.21699392653209862
2026,0.5159118882299781,0.002498723613092705,0.7199998876216965,0.8403033943512476,0.6049384445074103,0.45694578268188024,0.00014084147833795304,0.16910339532906882,0.21433807681564218
2027,0.4943199303674921,0.002610159244992577,0.7199998608898646,0.8701509058268011,0.6039152572942765,0.45694486437478676,0.00013967908661651342,0.16908959175942348,0.21174687573299125
2028,0.472880688532318,0.0024071506144302717,0.7199999194037773,0.9033371527081786,0.6039371965923107,0.45693904936859503,0.00027891216732272835,0.16900221733540544,0.21061929545706348
2029,0.45121208513154204,0.003135667292490647,0.7199999595798106,0.9128218135161292,0.6114028399321393,0.4569092945422166,0.00016233208169542563,0.16372501126276603,0.20871501593691927
2030,0.42726660039273995,0.0033963354726494156,0.7199999038096088,0.9031365384196325,0.6645445690741876,0.4568438450526803,0.00027039332573881457,0.16059679392975748,0.2087541532489281
2031,0.3995326750389646,0.0028769553686076627,0.7199998901960091,0.8903859618913224,0.7001552235569765,0.45316105746382046,0.0002753726798189668,0.15829180054301056,0.20884738596444002
2032,0.35309363935226695,0.002368941639610465,0.7199999619825379,0.9998603397174928,0.7258489803792835,0.453124876305419,0.00037925630264547277,0.15097168656793788,0.20358131027565807
2033,0.2715448946816969,0.0014058039238354161,0.719999897060354,0.999910615436617,0.7602930676711783,0.4531064663779509,0.00016846049209144585,0.14630324898649094,0.19658081971182276
2034,0.09402673119371181,0.0011160811908687055,0.7199997752611769,0.9998637254006498,0.7588717351882254,0.45290982198565966,2.6957783732069954e-05,0.14180569804203194,0.1951725193644329
2035,0.09282241595225857,0.0011550541829515933,0.7199998081574367,0.9998562668282561,0.757324593072491,0.4529110303167979,0.00027449964090750175,0.0086412384003165,0.19733664943520934
2036,0.09099795235807547,0.001279179000408035,0.7200000001465161,0.9999467149929493,0.7685042283592963,0.4437503926168639,0.00015388031098209962,0.009006137190555583,0.19936636224277635
2037,0.08866406113362305,0.0015090001414130396,0.7199998711844317,0.9996676907214017,0.7773800738605173,0.4431158800385343,0.000222747161771656,0.010110418511807221,0.20010039790711903
2038,0.08298516005420552,0.0018020132126040805,0.7199996787128257,0.9997270945991713,0.7791033606686325,0.4434012906708407,0.0004245688389949316,0.010832682283335447,0.20406155680673835
2039,0.07493863850107436,0.0019353740264897474,0.7199998266012115,0.9999553261511109,0.7812612194971749,0.43407961155781966,0.00040056749599339843,0.011152501157920153,0.207368990090238
2040,0.08376442884135346,0.0032722240259291744,0.719999999836613,0.9999715078272752,0.7798562866636012,0.4339750957672643,0.0004949661881246477,0.1810330942675538,0.20782829214004905
