snapshot,CCGT,OCGT,Oil,Geothermal,Hydro,Wind,Solar,Biomass,Battery,Nbattery,Lost load,Demand
2013-01-01 00:00:00,516.8230184786348,0.0017324655089129342,0.0001461484724520642,509.9999926286713,815.4549075584836,32.9551968449525,0.0,839.9945900295287,2.0583121416569217,0.0,-0.0010430193747197336,-2717.081022062369
2013-01-01 01:00:00,393.36986932349447,0.0017439263871967482,0.00014623357553681312,509.99999258408127,805.0052294731124,33.70894785440041,0.0,839.9945920017318,2.2169023232233167,0.0,-0.0009753781932886341,-2584.074758109491
2013-01-01 02:00:00,139.15119315968187,0.0017422789799844153,0.00014605265044411077,509.9999925522097,795.7624787662239,33.69946067129421,0.0,839.9946006927066,2.557115787429441,0.0,-0.001001028458631481,-2320.9100173539746
2013-01-01 03:00:00,0.00042158646538686966,0.0007192031260635888,0.00011381215384330088,509.99998721727104,745.8910971299493,35.511128632981325,0.0,752.0851311126048,0.0,-0.9517399457615747,-0.0018167229277423758,-2042.4292931430002
2013-01-01 04:00:00,0.0004190358824612318,0.0007196565052287349,0.0001137992843451518,509.9999872174508,726.9090214983876,34.567980148504574,0.0,728.3050148052056,0.0,-0.42342043882934827,-0.0019141259338084637,-1999.310874881032
2013-01-01 05:00:00,0.0004158466537773383,0.0007189292413938489,0.00011361315169973838,509.9999870901811,688.1125304442572,37.408466306916694,0.0,594.2858942387941,0.0,-0.3062719925906315,-0.0018958218247462355,-1829.4659284333816
2013-01-01 06:00:00,0.00041527375095160745,0.0007186581747843482,0.00011356566884052741,509.99998704144264,686.3428771788674,37.85910411087093,0.0,566.5006577920805,0.0,-0.25179737046077316,-0.0019482546877043205,-1800.422150510101
2013-01-01 07:00:00,0.00041492410668629516,0.0007185434516801804,0.0001135771891298561,509.99998703977985,684.7716613121455,35.31983002295771,0.0,544.9458023646912,0.0,-0.22001820029768335,-0.0019969593838595756,-1774.7920661579406
2013-01-01 08:00:00,0.00041492733299046825,0.000718505982572583,0.00011368535972704432,509.99998789087607,687.1442107825712,36.45800803613405,0.0,571.3434811959478,0.0,-0.193045587886544,-0.0020985994231068617,-1804.7303413271297
2013-01-01 09:00:00,0.00041908462674254693,0.000719287285366288,0.00011393762882264684,509.9999871177121,718.8357942686896,34.35494590657546,0.0,717.3977209240188,0.0,-0.16988694553496309,-0.0022898576160059747,-1980.3986473961043
2013-01-01 10:00:00,0.0004215232515383614,0.0006913398699578158,0.00011421211687390926,509.9999870782775,730.9279223757534,30.93623640033903,0.0,732.5682453290212,0.0,-0.1559151594418344,-0.0023868903003858577,-2004.2579923022824
2013-01-01 11:00:00,0.000421166526680982,0.0007124102342497485,0.00011455602168015113,509.9999876949701,775.7652078709658,30.55918388009995,38.207255384540495,818.2693746171551,0.0,-0.14154696935669536,-0.0024480869751641876,-2172.6425350831423
2013-01-01 12:00:00,0.0004256168361342682,0.0007193721893654633,0.00011558331957128956,509.9999871746998,705.067705871098,37.665109065249176,374.68215769770563,703.7247111471297,0.0,-0.1363815085619119,-0.002593863890524517,-2330.986802654824
2013-01-01 13:00:00,0.000423106978999203,0.0007195686533503466,0.00011637945735763837,509.9999870504757,674.0889211437113,38.365926635449135,779.9561818340164,462.49151291859107,0.0,-0.14375121585180048,-0.002541577231568226,-2464.7415234869327
2013-01-01 14:00:00,0.00042706070225623395,0.0007210383213276245,0.00011671009792257238,509.9999871040007,637.9954897388436,23.059991283374952,1090.4025312346796,293.27869143375005,0.0,-0.14459895433639822,-0.0026860586153816257,-2554.574604040337
2013-01-01 15:00:00,0.00048006166972276205,0.000763001776622391,0.00011837971245644155,509.99998757055477,589.3587816032522,8.467590589683073,1298.2532629119873,148.09998002588821,0.0,-0.8082576878260057,-0.004404260878345667,-2553.2784957860613
2013-01-01 16:00:00,0.000378805261120905,0.0006013086708150847,0.00011114160191645964,509.86392949925767,538.6836318331957,2.8917898191465947,1357.5385821498585,147.56403739126563,0.0,-2.9375822509037786,-0.0005858834142600244,-2553.2784957860613
2013-01-01 17:00:00,0.00037231958657092895,0.0005952733738494964,0.00011073526995603515,509.86616091030237,535.7583312449904,2.8103339063813353,1352.0008898232445,140.9184060960651,0.0,-2.9543321718711084,-0.0005664015220645524,-2538.072042605613
2013-01-01 18:00:00,0.0002792238174618107,0.0004501604706750966,0.00010740912335814254,509.87818025578775,558.7874023501602,12.614798716711721,1328.4278727446788,131.69551452990328,0.0,-2.9989144559870176,-0.00043561172105910373,-2538.072042605613
2013-01-01 19:00:00,0.00042855373348255586,0.00072009284723606,0.00011643692307812039,509.99998715741964,625.4224062836638,9.27741240620614,1131.6554531759903,261.9113199715614,0.0,-0.17357220098733642,-0.0029434716348077927,-2538.072042605613
2013-01-01 20:00:00,0.00042181405556319907,0.0007189065824205889,0.00011612974324028075,509.9999870693924,674.2488084949739,9.984942155041828,850.9153811599259,498.7069621305069,0.0,-0.2430089650622157,-0.0022614512972722878,-2543.585066447745
2013-01-01 21:00:00,0.0004267819319141356,0.0007192380957584731,0.00011548389003009416,509.99998710814066,707.7112513100719,15.878347432157804,596.4436641346001,722.5386056815478,0.0,-0.5955265077916929,-0.0020537022219286882,-2551.9093673484454
2013-01-01 22:00:00,243.26400596149753,0.001746091776076537,0.00014669614200605094,509.99999254621315,801.2439479272224,11.956366787567093,255.86977842558247,839.9945861942622,2.925688878350954,0.0,-0.000824416968953301,-2664.9628662038094
