gradual_NZE,gradual_NZE_4
90.65000719242002,88.46849810427655
113.20490523373508,111.05407925333539
127.89935156597446,126.2056125646823
140.34010255327792,139.1816784033374
155.0100721534838,153.4130112020253
168.38593203111736,167.53430984753712
174.0471307483051,175.6526192601885
180.8743835489961,181.7829927749318
190.68483975206004,195.48355735929175
212.69878324466555,217.72517625577916
257.7267381899369,260.45250443094955
268.4282904812422,268.31232291058257
274.98544164816195,274.2334018766292
280.54316383482944,279.182647762389
286.4858540578824,284.3809928954922
297.3733234089765,294.325978259456
302.1319913729689,300.664745090203
