year,CCGT,OCGT,Biomass,Geothermal,Hydro,Oil,Wind,Solar
2024,3.1776268230032656e-05,0.0001523701769292618,8.278165410047222e-06,2.4901733892502207e-05,5.729779076642977e-05,7.050117808199419e-05,0.0019655024477645147,0.004708884665879665
2025,0.0,7.065113491223427e-05,3.886583439971503e-05,4.4492567780112545e-05,20.16790342940106,2.3194165029272185e-05,0.0005480880273921179,379.83137260936104
2026,6.344632687671492e-06,0.00023578034846721377,3.503015031558476e-05,1.929297730299449e-05,0.00040489218937989416,6.146380070881641e-05,0.000585619760121566,354.44791199101485
2027,2.222383306360598e-05,0.000175693998663909,3.798591360126835e-05,5.538867523336439e-06,0.0007784675599184004,1.2875916477028682e-05,0.00039725788917501273,332.97277553190276
2028,6.935752516312732e-06,0.00017132934538894145,2.5213031483950488e-05,2.8492401529190605e-05,0.00027427818745812257,3.1158317684742975e-05,0.0003014207240702281,366.1538440150516
2029,5.115793818788461e-06,0.00038108902859210593,4.9630056177640824e-05,0.005663895256348351,7.887904990336877,1.0454492048561637e-05,0.00030847715399302106,340.96667361438654
2030,1.4966175299946372e-05,0.0008770561445860244,0.00030303757146565857,14.661920253172061,61.84432927943809,7.754294686745933e-06,0.00327041857599288,21.493117927428795
2031,4.30738713532719e-05,0.0001683387904753855,7.80158928490593e-05,36.99270899754845,54.22264963112691,1.751337491356919e-05,0.000845930891111757,0.2219937448862414
2032,1.2910373555996557e-05,0.00022859352495019675,0.0005141211602843754,61.452400395368194,57.27432026751533,0.020297188676204826,0.00047442875503010153,0.004395970729930324
2033,4.9410480329470374e-06,0.00041505198600897547,22.050916067019223,99.99999438805632,91.31837063249216,1.269856582806674e-05,0.0006390573093005088,0.004647663104412381
2034,7.727877724761356e-05,0.0016505746149736954,299.9816043967859,99.9873648087144,0.012606526916115968,0.0007696405501548798,0.008886666212505901,0.007035184579546723
2035,5.244616468047525e-05,0.0002480741243450177,31.608517071713297,71.12379377121908,0.00039310798150893334,0.0003824763188877882,29.603467514151248,0.01084280594001965
2036,7.694922771150914e-05,0.00027694541670943997,43.83373172148395,53.718161401725695,6.516037046822021e-06,0.00011613978783870938,0.001619707578089353,0.002905423002090749
2037,0.0007429315021880711,0.009203359158279184,42.84124084851141,53.38813829296572,3.3656361608791485e-07,0.0024339829800540712,0.04315423034874334,0.045104277200690546
2038,0.0005176339770471827,0.012987003127145428,91.68655947502083,18.634506184056306,0.0,7.05117740594347e-05,0.002662226869629041,0.010296200270835335
2039,0.00022157862879623735,0.0005461012872095578,155.4116668860579,0.0352249271448386,0.0,6.290537491216342e-05,0.006039465197278894,7.665982322028226
2040,0.0001978771667836554,0.003161075251314882,45.859547413563334,0.0,0.0,0.0003927179480876117,55.857673222139056,161.8005155179326
