gradual_NZE,gradual_NZE_4
2.7315587382365067,2.6803815632862373
2.635470260706472,2.6354702582420915
2.5300514536171312,2.5300514479800458
2.424632643717675,2.4246326378371035
2.319213832715991,2.3192138258513486
2.2137950223203218,2.213794989050035
2.1083761823817886,2.108376061871401
2.002956805289289,2.0029509817081346
1.8388410130677832,1.7950553934710247
1.533502059816056,1.4153952593507593
0.7602702332902299,0.6319081461521636
0.8222353579893289,0.6712380387039538
0.8647806984050428,0.7692063296544657
0.9041399994577108,0.7759561820949912
0.8944656200065856,0.766914924775097
0.8554815576173642,0.7663289333460882
0.8991619122402001,0.8228341618520917
