gradual_NZE,gradual_NZE_4
0.4480936973721541,1.3966221952161459e-08
29.408778139819866,27.373961656549593
50.47796438411224,48.88085795384107
68.91370229267784,67.84765817311035
89.22912775292644,87.7230510490855
107.93739979622268,107.47465446478574
118.93486742906872,121.76776840650999
131.23130921032,133.1924019515933
148.33646013675894,156.1443598864308
180.85101785333592,190.67245386826255
243.29876040330868,249.34931249675748
254.6409697730888,258.0509010979866
261.5344337130384,264.05805585363356
267.4828569368427,268.7260646271789
273.7256883926012,273.66324848734064
284.79867352564446,283.2343602360672
288.8003645033774,288.7694959120035
