gradual_NZE,gradual_NZE_4
90.20191349504786,88.46849809031033
83.7961270939152,83.68011759678579
77.42138718186223,77.32475461084123
71.42640026060008,71.33402023022704
65.78094440055735,65.6899601529398
60.44853223489468,60.05965538275138
55.11226331923638,53.884850853678515
49.64307433867607,48.5905908233385
42.34837961530111,39.33919747286096
31.84776539132964,27.0527223875166
14.42797778662825,11.103191934192088
13.78732070815338,10.261421812596005
13.451007935123505,10.175346022995681
13.0603068979867,10.456583135210082
12.760165665281246,10.71774440815157
12.574649883332023,11.091618023388829
13.331626869591494,11.895249178199485
