year,Charger,Discharger,Battery Storage
2024,0.02682188521622175,0.029802094684690833,0.039459868118019686
2025,0.012842442738301995,0.014269380820335548,0.0010740451899811515
2026,0.005654125607066893,0.006282361785629881,0.024920421189102815
2027,0.004840224692942721,0.005378027436603025,0.004393909780979491
2028,0.0035110865432322266,0.003901207270258028,0.007404547778770421
2029,0.006260642167071354,0.0069562690745237216,0.03138558274531589
2030,0.06401180533748327,0.07112422815275918,0.1779560071631768
2031,0.005326562992202591,0.005918403324669558,0.009792396374224022
2032,0.0036356627546188236,0.004039625282909798,0.008302312031106984
2033,0.006389496127130051,0.007099440141255631,0.06120706210070165
2034,0.00630353870841277,0.007003931898236393,0.12840414729033817
2035,0.1593728502485624,0.17708094472062494,0.4828003254886877
2036,0.044758206952923874,0.04973134105880428,0.1927905132598816
2037,1.3464752058933955,1.4960835621037727,5.353698486618861
2038,1.6625048548731662,1.8472276165257406,7.316837751787487
2039,0.009878943259925332,0.010976603622139258,0.08516865112656546
2040,0.024482524705808473,0.027202805228675686,0.049879853027491095
