id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
99,IAG01*,Bioenergy,Steam Turbine,PP,BO,5,0.31,2017,2017,2047,-17.3159808,-63.2660377,0,0,0,0,GBE-013_IAG01,IAGSA GBE-013 IAG01
100,AGU02,Bioenergy,Steam Turbine,PP,BO,49.72,0.31,2022,2022,2052,-16.857374,-63.280084,0,0,0,0,MIN-115_AGU01,AGUAI MIN-115 AGU01
101,QOL,Wind,Onshore,PP,BO,3,1,2014,2014,2044,-17.6287401,-65.2916976,0,0,0,0,QOL-115_QOL,Qollpana 1 QOL-115 QOL
102,QOL2,Wind,Onshore,PP,BO,24,1,2016,2016,2046,-17.6318502,-65.2760551,0,0,0,0,QOL-115_QOL2,Qollpana 2 QOL-115 QOL2
103,ORU,Solar,Pv,PP,BO,100.02,1,2018,2020,2050,-17.7753238,-67.4350937,0,0,0,0,ORU-115_ORU,Oruro 1 ORU-115 ORU
104,UYU,Solar,Pv,PP,BO,60.06,1,2018,2018,2048,-20.5733559,-66.7699542,0,0,0,0,SUY-230_UYU,Uyuni SUY-230 UYU
105,YUN,Solar,Pv,PP,BO,5,1,2017,2015,2035,-21.833365,-65.099656,0,0,0,0,YUN,Yunchara
106,WAR,Wind,Onshore,PP,BO,14.4,1,2021,2015,2035,-17.524534,-63.128805,0,0,0,0,WAR,Warnes
107,SJU,Wind,Onshore,PP,BO,39.6,1,2021,2015,2035,-17.80471,-62.833061,0,0,0,0,SJU,San Julian
108,EDO,Wind,Onshore,PP,BO,50.4,1,2021,2015,2035,-18.354174,-63.100056,0,0,0,0,EDO,El Dorado
109,LCO,Geothermal,Steam Turbine,PP,BO,0,0.239,2022,2022,2052,-21.1327,-67.155,0,0,0,0,UYU,Uyuni
