Component,Lost Load
1333044421_0,"[0.011734025428973836, 0.028979452585401758, 0.040326014998538995, 0.04194014814941602, 0.03927234343443388, 0.03490194022002879, 0.029821311565190627, 0.02854862983850785, 0.02535263984377366, 0.02482993984334712, 0.024335500163377446, 0.024711288511765815, 0.02563004815808654, 0.02906436166734056, 0.029869832015463997, 0.033013698397235204, 0.02488541513615337, 0.009512872928364686, 0.02470789099059357, 0.028149549669666384, 0.028505645426653927, 0.031431443382774885, 0.026463446333181765, 0.04515920896819534, 0.039636153662217566, 0.03408187870987263, 0.025843793410837406, 0.02986585170784815, 0.034384293992196946, 0.02832355158042151, 0.03261948104587418, 0.007892230855596608, 0.028016288822015893, 0.03175536969367522, 0.022924929065665994, 0.025631348418546623, 0.01541582527925857, 0.050933031055259564, 0.061091113189247155, 0.05642108593764806, 0.02921115511512039, 0.02608164311424366, 0.02553254641767762, 0.025181467163058868, 0.031986957245703704, 0.02290056948318943, 0.04693603094254922, 0.04753623544901757, 0.044935342143259734, 0.04146569132511377, 0.036160994983971934, 0.03260713712254414, 0.029993240386422485, 0.028890024252121976, 0.02837785087907355, 0.02934587667129108, 0.034222654528585056, 0.0006954972480184552, 0.008019014434435121, 0.010963415454875303, 0.021322453893262264, 0.03295676253760621, 0.02924487085261126, 0.03056498660131774, 0.03531231938405585, 0.03659979128619943, 0.040525703678280935, 0.033592457306850974, 0.026608655988246938, 0.027085846430642505, 0.0207535611686053, 0.013996216112318962, 0.007079079684042881, 0.02466820188248994, 0.032842709404887954, 0.04028258389491521, 0.0354496913055059, 0.020063020562577548, 0.005565721806291549, 0.009485045007559166, 0.024557610596101766, 0.011212769393562666]"
-1016478854_0,"[0.03956607547315571, 0.03654779948820487, 0.0010189148209724407, 0.05061900773296793, 0.038799232158552056, 0.052447414277466124, 0.048909656877974154, 0.0423014277875036, 0.03531755842194525, 0.03324949449011228, 0.029523929789986823]"
2000149022_0,"[0.06907138802294344, 0.08789416826958268, 0.0954081917430733, 0.12170539475915029, 0.06285899924985824, 0.08118465151852206, 0.0025190364677687284, 0.07893628380598329, 0.07204243371250005, 0.10410557517022084, 0.08643229275025396, 0.08036383259057811, 0.07662093942253886, 0.08237520775163261, 0.11294508848177429, 0.12037090723259826, 0.04794985488103316, 0.07079049806693047, 0.07603448583331919, 0.09695451615728552, 0.06679264919267984, 0.09543231107561996, 0.21255179845658587, 0.24887485349299232, 0.19360149106029304, 0.12527096057268045, 0.08937581930270108, 0.06833465740927272, 0.046979662895003, 0.04337960106823516, 0.04020153488552205, 0.04265615009554904, 0.0656830690427073, 0.06805736365752227, 0.08746837303924394, 0.1359106626623343, 0.16210085209490308, 0.1388305509032816, 0.11298560203156467, 0.07678629731026013, 0.06833476004920044, 0.04697981152062607, 0.04337955128391309, 0.04020116842289917, 0.042655725219413396, 0.06568262266539478, 0.06805684391703176, 0.08746794817641466, 0.022951638531691968, 0.1609297203253377, 0.1638778318032505, 0.14045636692310018, 0.11062174329496202, 0.1911375168129357, 0.19411398190177534, 0.15583112077605166, 0.13032567240899606, 0.09641168867432588, 0.08465759738579322, 0.06107324058659492, 0.056341354413611724, 0.053631046486916606, 0.057696582727644684, 0.0603687293436833, 0.23395994449524415, 0.23764001672920995, 0.22067845450137247, 0.17448903087643475, 0.1198653973785738, 0.11143598227060056, 0.14676543425197816, 0.13062419158174635, 0.22435713676745173, 0.06237661175001585, 0.05799009318460935, 0.0627696628855624, 0.09526121571182694, 0.09725740922673685, 0.1254977262802404, 0.15746059854947952, 0.12817030001190277, 0.07521870944091233, 0.07859762878966739, 0.09754538545544233, 0.10123448303684518, 0.12827883138535162, 0.019490653262765136, 0.24973932322081646, 0.24318908966928665, 0.20780396774437168, 0.14593375356206661, 0.11272860464578661, 0.08249036034087703, 0.060831105816697574, 0.05694431093252638, 0.0544934771760768, 0.022041620897917256, 0.2176560555141732, 0.22778903623569066, 0.05050749802472546, 0.11926100142578798, 0.14549464803295722, 0.12959619166089215, 0.10655654081860666, 0.07495374291176041, 0.061280133529661954, 0.04126473244949011, 0.03778376184984609, 0.03474830202303383, 0.03808790027965938, 0.058792964734860335, 0.06705995297149775, 0.11120813965603248, 0.07677870816223276, 0.06538006208138494, 0.046662440898242265, 0.042466541391281226, 0.04156149022634349, 0.04510052828446328, 0.22061603532821256, 0.21163992205922386, 0.17212946586485442, 0.13425504910400332, 0.04682632518249875, 0.1379492765834325, 0.17560520117841452, 0.1482987324350006, 0.11996764607500927, 0.0848563082506239, 0.07166430092264932, 0.05097053874289895, 0.047742303372095646, 0.04765312896874275, 0.05283964578211203, 0.08037067401279682, 0.08591439632017273, 0.10750320179792652, 0.0036571265220004534, 0.1816236408537111, 0.05972307430390856, 0.02735864564027088, 0.2770036477408248, 0.2694353980711885, 0.23396572296179283, 0.1624803483942692, 0.1307944818293372, 0.09151488910003468, 0.07026447932500991, 0.06579762012311358, 0.06335040631482275, 0.06590887028264479, 0.08980676111406387, 0.09660403856067251, 0.08652443605068492, 0.17370132241522696, 0.15422083253987148, 0.1349546779387847, 0.10630424648467579, 0.08401326240416142, 0.06708108435724944, 0.06303070908393602, 0.05925859882565828, 0.06779691615615911, 0.0972006541981234, 0.1035375033147925, 0.1272383475755837, 0.06286838058492049, 0.21718098091438923, 0.22550259728490302, 0.17576532379976514, 0.18313608755337965, 0.15017017599681412, 0.11820663585952525, 0.08360660535739817, 0.20200736764643853, 0.2488758129949979, 0.19296527915278738, 0.12641615147098992, 0.09087066577903125, 0.06538777117774862, 0.04666959447809063, 0.042473443701385574, 0.04156811000293646, 0.045107319889197015, 0.034252040551567234, 0.03780150206520602, 0.05852246377732149, 0.06133207474574942, 0.08118258959497916, 0.06776786419005111, 0.07009921234122589, 0.09893952607283155, 0.0898075639535407, 0.06850329617736248, 0.05081690450941278, 0.04506207657700338, 0.04275839820451392, 0.04627358555376532, 0.06959672855614872, 0.07625706312054285, 0.0979130454431529, 0.1569531402872035, 0.16097305196834896, 0.08976598343741511, 0.09657819800716357, 0.086466017840919, 0.037248579689178316, 0.0342348360402857, 0.0584948246880042, 0.15702991834606836, 0.16102997790770815, 0.11172492030945295, 0.08087169960458278, 0.06850908587714412, 0.050820802126579565, 0.04506472730082146, 0.042759434155386314, 0.04580277051111898, 0.06911258844213808, 0.058421860576438576, 0.038047527954570344, 0.21939233677531775, 0.2470333023510193, 0.1925622969971928, 0.12311656598554373, 0.09087420899318431, 0.06833952767790924, 0.0469847891960967, 0.04338448222498891, 0.040205583777978976, 0.04265864973044972, 0.06568042022510871, 0.07028026013501039, 0.06586839923537287, 0.07088115510849775, 0.0998098510316463, 0.11424675335709139, 0.13512544509138844, 0.0893535074428969, 0.06832231671163867, 0.0469705201901429, 0.04337168314223686, 0.040194091129054414, 0.04264869099801172, 0.06567523701332652, 0.06804817828759542, 0.0874539443489739, 0.07031775416143977, 0.07390608089637385, 0.09484220635388647, 0.06534939874395058, 0.0466290889626182, 0.07863214985937225, 0.08434859843211506]"
-1617796573_0,"[0.028097633397648678, 0.007498300065109106, 0.06329932366186813, 0.05964344556081551, 0.035451826403408174, 0.10513790091161264, 0.06822721499697264, 0.03453385700277113, 0.02416869044461919, 0.026018015434648076, 0.0022634677581722827, 0.02909234314947844, 0.007643416680055907, 0.013773185613520127, 0.02177429333510281, 0.0220400170274811, 0.02188337029001559, 0.0038651424673053045, 0.03843091502792686, 0.03794277286324632, 0.02577907027805213, 0.008027606844025741, 0.05203291572482067, 0.010910479783983646, 0.015873073859147553, 0.05971335961168825, 0.06677621830017279, 0.032927938878754046, 0.02382289552227394, 0.016243616478770945, 0.018201814522140012, 0.016433857953767984, 0.023173513216791435, 0.006280980326256668, 0.027316382126841746, 0.02559432503843118, 0.013409298845923331, 0.05899330462237822, 0.05403478824115791, 0.036574812486815975, 0.033994230233003235]"
1384506802_0,"[0.011907644139103923, 0.011429561894171002, 0.0031379368240905025, 0.005284243349954977, 0.016248036596866314, 0.019938708423420395, 0.014420661839826153, 0.01197344484603127, 0.011741434799611398, 0.005925684871822796, 0.019267409986889108, 0.025287228525957745, 0.008608522542471747, 0.01416920218646601, 0.016129260252444964, 0.006577428808384411, 0.016248327304774192, 0.019936872310919625, 0.01442172999888271, 0.02606514861798223, 0.008967098859169255]"
-393847358_0,"[0.06510816885223175, 0.050655311472964516, 0.04559435681321588, 0.04371102041562153, 0.04355743074612292, 0.04616089321735649, 0.05370134056536017, 0.05488694120951277, 0.06995689381493411, 0.036269870673784226, 0.056983735811462335, 0.0610535885976974, 0.06269972349571117, 0.05968983795674512, 0.050749679235888835, 0.04917692660497755, 0.047782992215030164, 0.049410292572548996, 0.05893784637099634, 0.05998013002112475, 0.04445343338726434, 0.010852800049666713, 0.047312991725958, 0.09665267228765924, 0.0977077052739628, 0.06550615674352593, 0.06054801904055898, 0.051389415185374446, 0.015023430115628799, 0.012995939965584057, 0.08949305042778087, 0.1120538636335432, 0.11050595225314919, 0.1047502863084037, 0.09081219619084732, 0.07248487498440453, 0.045002645028073406, 0.05603609334351972, 0.061619939224490966, 0.07133095343176456, 0.04163529569249795, 0.03943571655520054, 0.0404718462912374, 0.04957326453844712, 0.05100443008438924, 0.0593695185630927, 0.013201046164187118, 0.09251954830063687, 0.07748906303628701, 0.06956816410301916, 0.0672951218008243, 0.05876874532170632, 0.050887825863351284, 0.04891226453780496, 0.047769794504503124, 0.04949336780176304, 0.05781350254781773, 0.05882652821900501, 0.05563458386464731, 0.057323606652741776, 0.06962855630555577, 0.020343038491123934, 0.06307895054180516, 0.09799373628060994, 0.09910839533846229, 0.04950657471118848, 0.061043010794998735, 0.003767396404257397, 0.06050255169358206, 0.05136607798996352, 0.04973995035952112, 0.04870274519023974, 0.06264417255025455, 0.10485933960881084, 0.10774002020153284, 0.103418133217157, 0.08897335779118157, 0.07103016282086447, 0.0544554840418391, 0.049367128215634465, 0.05008540190200324, 0.04788730921634306, 0.05055269324044957, 0.05733945324896626, 0.06032859712930258, 0.07112907057681969, 0.03080362405277674, 0.07724681188632712, 0.024539431199488718, 0.062349548948450774, 0.07204385647230356, 0.05911989321270721, 0.04952498446590153, 0.042546169222933944, 0.04047875719274384, 0.03932283290784403, 0.041125922086200944, 0.04986648610348766, 0.050694716003389886, 0.06242350740530583, 0.001708108328813978, 0.04616919612167885, 0.04499919263725519, 0.0692992326270737, 0.04876224083739203, 0.04786400013659363, 0.04895861155476041, 0.06171286464465811, 0.10703267731995539, 0.10568897527993432, 0.09781913873516669, 0.08765450720576519, 0.07311490653797365, 0.06372981496145144, 0.012365676726086804, 0.06905598538996355, 0.0931825078010279, 0.09496961908507137, 0.08987957679795999, 0.0839714498117496, 0.06733440089511396, 0.058923141717820274, 0.052088322700063146, 0.05249655389883128, 0.0498381550352799, 0.05232783717234588, 0.06376176214809788, 0.06847884018299692, 0.078014321097437, 0.03666238307452977, 0.045812620407678875, 0.09369810081539162, 0.09586120841791353, 0.08916778930022383, 0.08466091536574913, 0.06780930539639667, 0.059471404865834986, 0.0526055166770866, 0.0488681907963105, 0.04884070510802303, 0.05191928417800955, 0.059441879588772964, 0.05042049146711997, 0.048806937748742486, 0.047880671415417284, 0.05279298654810282, 0.0499333668729173, 0.05887200454520189]"
-1964503845_0,"[0.0057520798748503235, 0.005882948880084313, 0.0062491918597334, 0.006432491121608564, 0.007108313616660325, 0.002384573909762821, 0.0068489055123664, 0.006359797484038154, 0.001966723700817056, 0.0062674419880727325, 0.00573980009987713, 0.005648863136800628, 0.005576392593405217, 0.005649500353300027, 0.006233750097370603, 0.006342824813730203, 0.0043905647561741715, 0.00737136715017823, 0.006276096177091176, 0.005856649374159815, 0.005822750056456243, 0.005692698848804412, 0.005608164328614975, 0.005555399958119096, 0.005647087975070462, 0.0061583053244337405, 0.006212492192895524, 0.00516356944119525, 0.0012973580577502163, 0.0012815673514530773, 0.0013005936042770826, 0.0014471964656424916, 0.0014654394198630597, 0.0015913760793582696, 0.009549604502739839, 0.00915009647110719, 0.008327868246958133, 0.007194068542466084, 0.0003662927034870336, 0.002048810467681051, 0.008791348492077305, 0.0086817302342115, 0.008405378612747882, 0.0029141659682513817, 0.002897993300860435, 0.002806930700925932, 0.002588193282359043, 0.002387230623612595, 0.008893063321273076, 0.008274689783343546, 0.0072876178531996625, 0.00670351727736761, 0.006283432761218592, 0.006208257995126814, 0.0080765243991018, 0.0074003446435344815, 0.006779192009386861, 0.006266067787526481, 0.002753066248579671, 0.00641211168078371, 0.006412139707647839, 0.006065310480625158, 0.0057348546993557644, 0.005041272759117647, 0.004602808620182486, 0.004329141433445784, 0.0042563327143473086, 0.004181735117730114, 0.004275090763839216, 0.004841652390186482, 0.004969752754987667, 0.005444787914001154, 0.001585340266919502, 0.008857421787851308, 0.00798204558777161, 0.00703298353616492, 0.006832689276488963, 0.008702018677678098, 0.006836230390212222, 0.0062705333955645984, 0.007018809676035744, 0.006197569507855178, 0.005704830607014628, 0.00561361769194923, 0.005558826103112551, 0.005649961649439319, 0.0061598137152909654, 0.0027067972645800184, 0.0027087350896977114, 0.0026357740068506247, 0.0024892260482265558, 0.0022335755680619514, 0.0026918870082163265, 0.002712037336674257, 0.00254839349488293, 0.002347340062965941, 0.002073897752891071, 0.0019645221669393324, 0.0018182547137319035, 0.001763601956162347, 0.001746062980736724, 0.001781642005568756, 0.001962225277421567, 0.003652298248567149, 0.009005041101945608, 0.009092509968135801, 0.005436791791490122, 0.0008457476369926553, 0.0009539706836826554, 0.001966286946898208, 0.0018217402834059158, 0.0017677332659366129, 0.0017682099601991012, 0.0018234775723651637, 0.002043464475401379, 0.0014184893593919697, 0.008644058611121636, 0.008680751467107256, 0.008187887681070606, 0.007566643125973315, 0.006653771511455488, 0.006361785290268926, 0.0058322300743946015, 0.005741006718875496, 0.00568625648672355, 0.005741034066550128, 0.006343462663905029, 0.006433268508591937]"
1686888444_0,"[0.21741938181289153, 0.19665973762016165, 0.10432962701054681, 0.1426642784815963, 0.12710967967764236, 0.10284236852405866, 0.08190663915568029, 0.07265966739014856, 0.06091339237650186, 0.09963053002757237, 0.103870345575677, 0.12844684037783508, 0.1463093343766068, 0.1674604094510446, 0.17816045430249505, 0.19155447543984974, 0.10996503512995173, 0.09263771843465861, 0.08961674319330178, 0.014332232027865075, 0.12968291144500108, 0.16473984015226506, 0.15119410461712823, 0.1275488140431944, 0.09465534208172585, 0.07835367143019699, 0.07559502093358787, 0.09067274026780182, 0.08804220350370678, 0.09053723743191927, 0.1151024266148463, 0.121869347469363, 0.13994813234678305, 0.08617213710729811, 0.0689067426227084, 0.06078945913833354, 0.05677915633082876, 0.05657913545134648, 0.06231679500108248, 0.07799792522171628, 0.09037735628348309, 0.10820771865032976, 0.020135241961826977, 0.14303494242037232, 0.1460403618031796, 0.08570412712809047, 0.08691288533825536, 0.07221708188573257, 0.053598182227710824, 0.08980504096353593, 0.08422288610577902, 0.18965108969437278, 0.18467300296137729, 0.1899760944440377, 0.18462966547218548, 0.16371815004584778, 0.14033864064882118, 0.11754952360829521]"
C75.0,"[0.006062581003136984, 0.0024291802985562756]"
1385764829_0,"[0.0052162477963724994, 0.005550519998828804, 0.006215917818836261, 0.006377430833395465, 0.005556975456056989, 0.004626386423716213, 0.004291753602157541, 0.0037646576486913544, 0.0036736049554106105, 0.0036102563232400372, 0.003687032286872636, 0.0042553067653273045, 0.004387889230092469, 0.004913660549238557, 0.0031200870369098082, 0.003025632793938257, 0.0078006134891998044, 0.007844992363299752, 0.007188736702441474, 0.006348190647549018, 0.003370679163711202, 0.0034365682855516297, 0.004065237876374795, 0.003475601098557263, 0.003005672109402212, 0.0029201673595248396, 0.002846971930688142, 0.00456150005162408, 0.0047267725763827, 0.006569783367278887, 0.005582555907868482, 0.004754524419394784, 0.0037889685494174046, 0.0033720446553566034, 0.003408446264092163, 0.0032777589563809215, 0.0032261620450738065, 0.006351657474634976, 0.005799313842348056, 0.005101413218133985, 0.004100956030632006, 0.003770460087006995, 0.003338088608017642, 0.0032354174374636386, 0.003414254791354779, 0.007546451410204554, 0.007293436096779715, 0.006331266612708987, 0.005244444047090837, 0.004594377711712696, 0.004195094884340733, 0.004033764599728329, 0.003981738231215786, 0.004089363321256769, 0.004778105774641517, 0.005622562707659654, 0.003304967201508589, 0.0032360904967799796, 0.0031754231197082847]"
